ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT4G13190	0	10.07	Inf	Inf	0.118	0.573
AT4G13195	0	43.94	Inf	Inf	4.54E-11	5.33E-09
AT4G13200	11.33	8.48	0.748	-0.419	0.766	1
AT4G13210	0	9.39	Inf	Inf	0.00727	0.0856
AT4G13220	3.58	2.32	0.647	-0.628	0.801	1
AT4G13230	0	1.28	Inf	Inf	0.716	1
AT4G13235	3.58	16.15	4.511	2.173	0.0311	0.245
AT4G13250	5.48	2.49	0.455	-1.136	0.462	0.999
AT4G13260	3.67	0	0	NA	0.12	0.578
AT4G13270	20.89	10.68	0.511	-0.969	0.201	0.74
AT4G13280	20.62	6.64	0.322	-1.634	0.293	0.87
AT4G13290	11.69	5.13	0.439	-1.188	0.327	0.902
AT4G13300	33.63	13.47	0.4	-1.32	0.265	0.838
AT4G13310	40.6	10.56	0.26	-1.943	0.0021	0.0332
AT4G13330	6.84	14.8	2.163	1.113	0.217	0.767
AT4G13340	98.43	99.61	1.012	0.017	0.997	1
AT4G13345	0	7.07	Inf	Inf	0.0271	0.222
AT4G13350	42.19	35.09	0.832	-0.266	0.556	1
AT4G13360	43.05	21.55	0.501	-0.998	0.0702	0.42
AT4G13370	11.01	21.08	1.914	0.937	0.204	0.744
AT4G13390	41.33	12.97	0.314	-1.672	0.0128	0.13
AT4G13395	0	2.99	Inf	Inf	0.262	0.833
AT4G13400	3.08	2.99	0.971	-0.043	1	1
AT4G13420	0.63	0.43	0.671	-0.576	1	1
AT4G13430	210.91	121.03	0.574	-0.801	0.0175	0.163
AT4G13440	0.59	0.37	0.622	-0.685	1	1
AT4G13460	15.05	22.91	1.523	0.607	0.391	0.953
AT4G13500	1.22	0	0	NA	0.634	1
AT4G13510	122.18	36.83	0.301	-1.73	4.17E-07	2.28E-05
AT4G13520	43.01	22.62	0.526	-0.927	0.0592	0.375
AT4G13530	56.1	33.02	0.589	-0.765	0.0674	0.408
AT4G13540	2.36	0.85	0.361	-1.469	0.672	1
AT4G13550	9.65	8.9	0.922	-0.117	0.964	1
AT4G13580	77.36	20.45	0.264	-1.919	2.96E-06	0.000129
AT4G13590	21.34	15.24	0.714	-0.486	0.484	1
AT4G13610	0	2.49	Inf	Inf	0.371	0.942
AT4G13615	92.08	73.76	0.801	-0.32	0.36	0.935
AT4G13620	21.16	2.74	0.13	-2.948	0.000969	0.018
AT4G13630	23.7	19.32	0.815	-0.295	0.64	1
AT4G13640	4.94	8.24	1.668	0.738	0.622	1
AT4G13650	7.21	6.76	0.938	-0.092	0.976	1
AT4G13660	46.63	30.33	0.651	-0.62	0.17	0.687
AT4G13670	4.26	6.15	1.443	0.529	0.79	1
AT4G13680	0.63	0.43	0.671	-0.576	1	1
AT4G13690	2.36	11.53	4.891	2.29	0.0634	0.392
AT4G13710	3.04	67.82	22.337	4.481	4.03E-12	5.49E-10
AT4G13720	11.56	29.07	2.516	1.331	0.0401	0.291
AT4G13730	13.41	16.82	1.254	0.327	0.688	1
AT4G13750	23.07	111.81	4.847	2.277	4.65E-09	3.91E-07
AT4G13770	68.52	10.84	0.158	-2.66	0.000718	0.0143
AT4G13780	83.88	125.91	1.501	0.586	0.0505	0.34
AT4G13790	0	0.37	Inf	Inf	1	1
AT4G13810	0	0.37	Inf	Inf	1	1
AT4G13820	1.18	2.49	2.117	1.082	0.818	1
AT4G13830	4.85	2.01	0.414	-1.271	0.469	0.999
AT4G13840	0.63	1.7	2.683	1.424	0.838	1
AT4G13850	64.35	154.16	2.396	1.26	2.93E-05	0.000978
AT4G13860	19.03	14.2	0.746	-0.423	0.572	1
AT4G13870	1.9	2.44	1.28	0.356	0.996	1
AT4G13880	0	0.37	Inf	Inf	1	1
AT4G13885	1.22	3.48	2.841	1.506	0.555	1
AT4G13890	1.77	4.87	2.756	1.462	0.489	1
AT4G13920	1.77	0.37	0.207	-2.27	0.639	1
AT4G13930	228.72	174.49	0.763	-0.39	0.0818	0.459
AT4G13940	1944.03	1864.41	0.959	-0.06	0.701	1
AT4G13950	5.35	7.01	1.311	0.391	0.831	1
AT4G13970	9.79	26.68	2.726	1.447	0.0367	0.274
AT4G13980	25.38	15.37	0.606	-0.724	0.315	0.888
AT4G13990	4.26	6.34	1.487	0.573	0.731	1
AT4G14000	12.87	8.83	0.686	-0.543	0.544	1
AT4G14010	50.08	25.84	0.516	-0.954	0.0393	0.287
AT4G14020	7.39	8.58	1.162	0.216	0.93	1
AT4G14030	137.4	78.9	0.574	-0.8	0.00505	0.0649
AT4G14040	61.81	13.29	0.215	-2.218	0.00806	0.0924
AT4G14050	1.22	6.34	5.179	2.373	0.192	0.727
AT4G14060	14.64	5.78	0.395	-1.34	0.122	0.58
AT4G14070	9.11	10.18	1.117	0.16	0.929	1
AT4G14090	0	0.73	Inf	Inf	0.906	1
AT4G14096	17.4	10.12	0.582	-0.782	0.444	0.991
AT4G14100	4.89	3.11	0.635	-0.655	0.738	1
AT4G14103	10.74	6.64	0.619	-0.693	0.759	1
AT4G14110	17.76	23.89	1.345	0.428	0.502	1
AT4G14120	0.59	4.02	6.822	2.77	0.316	0.888
AT4G14130	107.58	47.24	0.439	-1.187	0.00158	0.0264
AT4G14140	0	0.43	Inf	Inf	1	1
AT4G14145	7.39	10.41	1.41	0.496	0.663	1
AT4G14147	4.26	4.27	1.002	0.003	1	1
AT4G14150	7.84	38.2	4.872	2.284	0.000431	0.00952
AT4G14160	104	111.82	1.075	0.105	0.729	1
AT4G14170	1.22	0	0	NA	0.634	1
AT4G14180	1.81	0.73	0.404	-1.306	0.803	1
AT4G14190	5.44	2.26	0.415	-1.268	0.461	0.999
AT4G14200	8.52	7.07	0.83	-0.269	0.851	1
AT4G14210	19.85	9.69	0.488	-1.034	0.265	0.838
AT4G14220	15.18	11.7	0.771	-0.375	0.66	1
AT4G14230	16.41	12.37	0.754	-0.408	0.588	1
AT4G14240	14.05	7.86	0.56	-0.838	0.345	0.92
AT4G14250	2.49	0	0	NA	0.276	0.849
AT4G14270	23.93	14.86	0.621	-0.687	0.278	0.852
AT4G14280	2.36	0	0	NA	0.408	0.967
AT4G14290	12.87	6.41	0.498	-1.006	0.317	0.889
AT4G14300	41.65	45.03	1.081	0.113	0.822	1
AT4G14305	3.08	1.53	0.495	-1.015	0.73	1
AT4G14310	29.5	26.71	0.905	-0.144	0.866	1
AT4G14320	101.83	117.98	1.159	0.212	0.477	0.999
AT4G14330	15.27	38.46	2.518	1.332	0.0173	0.161
AT4G14340	34.21	55.23	1.614	0.691	0.103	0.528
AT4G14342	8.02	7.01	0.874	-0.194	0.944	1
AT4G14350	46.4	95.88	2.066	1.047	0.00513	0.0657
AT4G14360	54.52	57.26	1.05	0.071	0.896	1
AT4G14365	0	1.64	Inf	Inf	0.583	1
AT4G14368	0.63	0.73	1.155	0.208	1	1
AT4G14370	13.55	26.68	1.969	0.978	0.131	0.602
AT4G14380	0.63	12.19	19.212	4.264	0.00618	0.0759
AT4G14385	11.6	5.24	0.451	-1.147	0.246	0.813
AT4G14390	1.27	27.28	21.503	4.426	1.61E-05	0.000576
AT4G14410	55.56	41.34	0.744	-0.426	0.522	1
AT4G14420	41.01	53.54	1.306	0.385	0.44	0.987
AT4G14430	29.64	28.72	0.969	-0.046	1	1
AT4G14440	13.73	20.55	1.496	0.581	0.46	0.999
AT4G14450	0.63	0.85	1.342	0.424	1	1
AT4G14455	19.62	21.15	1.078	0.108	0.89	1
AT4G14465	14.14	17.91	1.267	0.341	0.669	1
AT4G14490	4.12	6.95	1.686	0.753	0.651	1
AT4G14500	71.01	57.54	0.81	-0.304	0.581	1
AT4G14510	6.03	13.58	2.254	1.172	0.239	0.804
AT4G14520	4.35	3.42	0.785	-0.349	0.948	1
AT4G14540	3.04	0.37	0.121	-3.05	0.341	0.914
AT4G14550	19.71	71.16	3.61	1.852	3.62E-05	0.00117
AT4G14560	4.85	83.39	17.198	4.104	1.59E-13	2.50E-11
AT4G14570	41.24	33.1	0.803	-0.317	0.51	1
AT4G14580	6.16	6.45	1.047	0.067	1	1
AT4G14590	1.27	3.11	2.45	1.293	0.631	1
AT4G14600	10.42	5.36	0.514	-0.961	0.343	0.916
AT4G14605	4.85	3.36	0.692	-0.53	0.819	1
AT4G14615	31.45	22.92	0.729	-0.456	0.409	0.967
AT4G14630	1.27	6.03	4.752	2.248	0.22	0.771
AT4G14640	4.31	0	0	NA	0.0787	0.451
AT4G14650	6.21	1.83	0.295	-1.76	0.304	0.878
AT4G14660	3.67	12.79	3.485	1.801	0.0985	0.517
AT4G14680	8.57	7.92	0.925	-0.113	0.974	1
AT4G14690	2.95	1.53	0.518	-0.95	0.767	1
AT4G14695	0.63	1.7	2.683	1.424	0.838	1
AT4G14700	6.66	5.91	0.887	-0.173	0.945	1
AT4G14710	64.08	44.72	0.698	-0.519	0.178	0.7
AT4G14713	4.26	7.5	1.759	0.815	0.557	1
AT4G14716	38.25	31.93	0.835	-0.26	0.628	1
AT4G14720	11.51	14.33	1.245	0.316	0.727	1
AT4G14740	15.41	10.5	0.681	-0.554	0.648	1
AT4G14746	8.7	1.7	0.196	-2.354	0.104	0.532
AT4G14750	18.44	5.31	0.288	-1.797	0.0388	0.285
AT4G14760	137.58	115.68	0.841	-0.25	0.34	0.914
AT4G14770	7.21	21.56	2.993	1.581	0.0492	0.334
AT4G14780	0.59	1.28	2.167	1.116	0.984	1
AT4G14790	6.03	12.99	2.156	1.108	0.273	0.848
AT4G14800	18.4	26.27	1.428	0.514	0.397	0.959
AT4G14820	2.45	5.06	2.068	1.048	0.565	1
AT4G14830	2.4	0.73	0.305	-1.712	0.625	1
AT4G14840	7.21	7.98	1.107	0.147	1	1
AT4G14850	4.8	3.11	0.647	-0.628	0.736	1
AT4G14860	1.86	0	0	NA	0.42	0.97
AT4G14870	6.71	3.84	0.573	-0.804	0.587	1
AT4G14880	311.47	196.86	0.632	-0.662	0.00219	0.0342
AT4G14890	3.63	0.37	0.101	-3.306	0.245	0.812
AT4G14900	52.66	45.35	0.861	-0.216	0.624	1
AT4G14905	8.52	11.34	1.331	0.412	0.696	1
AT4G14910	6.03	3.9	0.647	-0.628	0.683	1
AT4G14920	29.41	20.91	0.711	-0.492	0.418	0.97
AT4G14930	4.85	4.69	0.968	-0.047	1	1
AT4G14940	3.67	1.89	0.515	-0.956	0.699	1
AT4G14950	12.28	20.12	1.638	0.712	0.309	0.882
AT4G14960	521.34	552.27	1.059	0.083	0.668	1
AT4G14965	9.83	5.98	0.608	-0.717	0.563	1
AT4G14970	6.66	15.12	2.27	1.183	0.188	0.72
AT4G14980	3.67	1.89	0.515	-0.956	0.699	1
AT4G14990	81.21	76.84	0.946	-0.08	0.824	1
AT4G15000	206.47	278.54	1.349	0.432	0.0776	0.448
AT4G15010	16.04	12.91	0.805	-0.313	0.696	1
AT4G15020	18.49	28.4	1.536	0.619	0.293	0.87
AT4G15030	4.89	10.17	2.077	1.055	0.371	0.942
AT4G15070	15.77	8.35	0.529	-0.918	0.257	0.826
AT4G15080	45.82	40.77	0.89	-0.168	0.728	1
AT4G15090	16.22	27.85	1.717	0.78	0.221	0.773
AT4G15093	22.75	21.41	0.941	-0.088	0.989	1
AT4G15100	0	0.43	Inf	Inf	1	1
AT4G15110	12.87	11.15	0.866	-0.207	0.841	1
AT4G15120	3.72	6.41	1.724	0.786	0.579	1
AT4G15130	11.1	10.72	0.966	-0.05	1	1
AT4G15140	1.86	1.89	1.018	0.026	1	1
AT4G15160	24.97	359.37	14.392	3.847	2.58E-39	3.51E-36
AT4G15165	0	2.01	Inf	Inf	0.474	0.999
AT4G15180	165.14	181.28	1.098	0.135	0.579	1
AT4G15215	31.54	19.68	0.624	-0.68	0.295	0.871
AT4G15230	157.89	121.06	0.767	-0.383	0.164	0.672
AT4G15233	9.79	3.23	0.33	-1.601	0.167	0.68
AT4G15236	4.26	2.01	0.472	-1.084	0.576	1
AT4G15240	8.11	10.36	1.277	0.352	0.748	1
AT4G15260	4.89	8.35	1.705	0.77	0.551	1
AT4G15270	1.18	1.58	1.344	0.427	1	1
AT4G15280	1.18	17.18	14.578	3.866	0.00167	0.0276
AT4G15290	13.5	0	0	NA	0.000147	0.00391
AT4G15300	0	0.73	Inf	Inf	0.906	1
AT4G15320	4.85	0	0	NA	0.0525	0.347
AT4G15330	69.88	28.21	0.404	-1.309	0.00139	0.0239
AT4G15340	61	29.85	0.489	-1.031	0.0134	0.135
AT4G15350	8.07	5.97	0.74	-0.434	0.754	1
AT4G15360	0	0.73	Inf	Inf	0.906	1
AT4G15370	0	0.37	Inf	Inf	1	1
AT4G15380	15.95	16.15	1.012	0.018	1	1
AT4G15390	210.64	160.8	0.763	-0.389	0.105	0.533
AT4G15393	20.89	13.64	0.653	-0.615	0.367	0.941
AT4G15396	11.56	10.18	0.881	-0.183	0.885	1
AT4G15400	25.15	24.92	0.991	-0.013	1	1
AT4G15410	18.81	18.04	0.959	-0.06	0.965	1
AT4G15415	30.54	26.87	0.88	-0.185	0.747	1
AT4G15417	1.77	0	0	NA	0.465	0.999
AT4G15420	48.81	30.36	0.622	-0.685	0.137	0.616
AT4G15430	11.6	12.8	1.104	0.142	0.901	1
AT4G15440	0.63	0	0	NA	0.932	1
AT4G15450	2.45	10.41	4.256	2.089	0.103	0.528
AT4G15460	0	0.43	Inf	Inf	1	1
AT4G15470	77.72	71.43	0.919	-0.122	0.752	1
AT4G15475	18.26	18.23	0.998	-0.003	1	1
AT4G15480	13.01	0.37	0.028	-5.149	0.207	0.748
AT4G15500	22.07	37.32	1.691	0.758	0.351	0.925
AT4G15510	1.77	1.64	0.93	-0.105	1	1
AT4G15520	9.92	10.18	1.026	0.036	1	1
AT4G15530	31.59	28.48	0.902	-0.149	0.831	1
AT4G15540	5.39	11.63	2.157	1.109	0.314	0.887
AT4G15545	39.29	23.62	0.601	-0.734	0.178	0.699
AT4G15550	4.89	4.15	0.848	-0.238	0.983	1
AT4G15560	149.73	48.75	0.326	-1.619	1.72E-07	1.02E-05
AT4G15563	4.26	6.28	1.474	0.559	0.734	1
AT4G15570	14.14	31.07	2.197	1.136	0.0632	0.392
AT4G15610	71.15	32.12	0.451	-1.147	0.00406	0.0552
AT4G15640	11.01	28.8	2.615	1.387	0.135	0.613
AT4G15660	0.59	0	0	NA	0.932	1
AT4G15700	0	1.28	Inf	Inf	0.716	1
AT4G15720	0	1.7	Inf	Inf	0.596	1
AT4G15730	4.85	17.01	3.508	1.811	0.0473	0.325
AT4G15735	0	0.37	Inf	Inf	1	1
AT4G15740	4.31	1.83	0.426	-1.232	0.575	1
AT4G15760	9.7	3.48	0.358	-1.48	0.207	0.748
AT4G15765	9.15	1.58	0.173	-2.531	0.063	0.391
AT4G15770	13.55	48.23	3.56	1.832	0.00867	0.0971
AT4G15780	24.38	47.77	1.959	0.97	0.045	0.313
AT4G15790	2.45	2.68	1.097	0.133	1	1
AT4G15800	9.24	7.92	0.857	-0.223	0.886	1
AT4G15802	11.42	16.94	1.483	0.569	0.5	1
AT4G15810	6.53	16.16	2.476	1.308	0.23	0.787
AT4G15820	4.8	10.12	2.107	1.075	0.35	0.924
AT4G15830	8.43	27	3.203	1.68	0.0179	0.165
AT4G15840	49.44	37.77	0.764	-0.388	0.506	1
AT4G15850	7.39	14.8	2.004	1.003	0.268	0.841
AT4G15880	13.6	29.89	2.198	1.136	0.176	0.695
AT4G15890	9.15	18.71	2.044	1.032	0.185	0.715
AT4G15900	24.74	52.04	2.103	1.073	0.0244	0.206
AT4G15910	111.12	132.81	1.195	0.257	0.37	0.942
AT4G15920	30.45	25.67	0.843	-0.247	0.681	1
AT4G15930	13.37	13.18	0.986	-0.02	1	1
AT4G15940	13.23	7.13	0.539	-0.892	0.312	0.883
AT4G15950	6.03	2.13	0.353	-1.502	0.304	0.878
AT4G15953	0.63	0	0	NA	0.932	1
AT4G15955	10.88	9.69	0.891	-0.166	0.908	1
AT4G15960	9.02	0.85	0.094	-3.405	0.0253	0.212
AT4G15980	0	0.37	Inf	Inf	1	1
AT4G15990	6.8	2.68	0.395	-1.341	0.374	0.943
AT4G16000	3.67	2.38	0.647	-0.627	0.804	1
AT4G16008	0	1.53	Inf	Inf	0.603	1
AT4G16015	1.77	0	0	NA	0.465	0.999
AT4G16050	0	0.73	Inf	Inf	0.906	1
AT4G16060	6.62	1.95	0.295	-1.762	0.243	0.81
AT4G16070	25.02	10.91	0.436	-1.197	0.0758	0.441
AT4G16100	16.04	12.05	0.751	-0.413	0.688	1
AT4G16110	51.21	44.34	0.866	-0.208	0.697	1
AT4G16120	16.54	19.44	1.175	0.233	0.772	1
AT4G16130	47.22	41.74	0.884	-0.178	0.67	1
AT4G16140	3.67	0.79	0.216	-2.212	0.364	0.938
AT4G16141	19.58	41.91	2.141	1.098	0.0376	0.278
AT4G16143	77	155.04	2.014	1.01	0.000522	0.0111
AT4G16144	6.53	9.03	1.384	0.469	0.813	1
AT4G16150	56.83	74.89	1.318	0.398	0.276	0.849
AT4G16155	18.04	31.14	1.726	0.788	0.191	0.726
AT4G16180	66.35	61.34	0.925	-0.113	0.844	1
AT4G16190	232.52	91.29	0.393	-1.349	1.11E-07	6.87E-06
AT4G16210	17.9	20.77	1.16	0.215	0.779	1
AT4G16220	0.59	0	0	NA	0.932	1
AT4G16240	0	0.37	Inf	Inf	1	1
AT4G16250	29.95	25.42	0.849	-0.237	0.697	1
AT4G16260	322.39	162.88	0.505	-0.985	5.93E-06	0.000239
AT4G16265	4.85	2.32	0.478	-1.065	0.559	1
AT4G16270	3.04	3.59	1.184	0.243	1	1
AT4G16280	29.73	29.91	1.006	0.009	1	1
AT4G16310	54.34	67.48	1.242	0.313	0.395	0.957
AT4G16330	31.63	13.04	0.412	-1.278	0.031	0.244
AT4G16340	96.39	61.01	0.633	-0.66	0.0989	0.518
AT4G16350	5.03	4.21	0.837	-0.257	0.991	1
AT4G16360	36.62	20.64	0.564	-0.827	0.102	0.527
AT4G16370	19.67	7.55	0.384	-1.38	0.0748	0.437
AT4G16380	56.06	13.49	0.241	-2.055	5.45E-05	0.00168
AT4G16390	13.82	12.82	0.927	-0.109	0.976	1
AT4G16400	1.27	3.35	2.637	1.399	0.645	1
AT4G16410	4.31	2.13	0.494	-1.017	0.577	1
AT4G16420	15.86	19.61	1.236	0.306	0.709	1
AT4G16430	38.02	39.62	1.042	0.059	0.91	1
AT4G16440	18.17	21.63	1.19	0.252	0.742	1
AT4G16442	1.77	3.48	1.966	0.976	0.721	1
AT4G16444	4.8	4.63	0.965	-0.052	1	1
AT4G16447	13.91	15.49	1.113	0.155	0.88	1
AT4G16450	87.78	82.74	0.943	-0.085	0.783	1
AT4G16470	7.43	5.79	0.779	-0.359	0.845	1
AT4G16480	9.7	10.36	1.068	0.095	1	1
AT4G16490	128.34	121.48	0.947	-0.079	0.817	1
AT4G16500	22.89	14.81	0.647	-0.628	0.372	0.943
AT4G16510	3.76	4.63	1.232	0.301	0.894	1
AT4G16520	56.83	42.18	0.742	-0.43	0.308	0.879
AT4G16530	10.47	15.58	1.488	0.574	0.635	1
AT4G16563	11.01	3.9	0.354	-1.497	0.172	0.69
AT4G16566	4.4	1.28	0.29	-1.784	0.453	0.998
AT4G16570	8.7	7.68	0.883	-0.179	0.972	1
AT4G16580	16.41	16.33	0.995	-0.007	1	1
AT4G16600	3.04	1.47	0.483	-1.05	0.728	1
AT4G16610	2.45	1.16	0.473	-1.079	0.764	1
AT4G16620	0	1.1	Inf	Inf	0.75	1
AT4G16630	27.55	85.61	3.107	1.636	4.42E-05	0.0014
AT4G16640	0	3.72	Inf	Inf	0.258	0.828
AT4G16650	26.06	33.87	1.3	0.378	0.518	1
AT4G16660	110.89	173.06	1.561	0.642	0.0151	0.146
AT4G16670	4.89	1.83	0.374	-1.417	0.469	0.999
AT4G16680	26.24	18.64	0.711	-0.493	0.409	0.967
AT4G16690	1.22	0	0	NA	0.634	1
AT4G16695	15.45	3.29	0.213	-2.233	0.0209	0.185
AT4G16700	1.18	10.85	9.21	3.203	0.0274	0.223
AT4G16710	15.82	18.03	1.14	0.189	0.862	1
AT4G16720	222.74	396.4	1.78	0.832	0.000604	0.0125
AT4G16745	3.08	0.37	0.119	-3.072	0.339	0.913
AT4G16750	4.35	2.07	0.476	-1.072	0.577	1
AT4G16760	278.43	164.82	0.592	-0.756	0.00104	0.0191
AT4G16765	7.89	13.45	1.706	0.771	0.479	0.999
AT4G16770	4.85	4.27	0.88	-0.184	0.986	1
AT4G16780	5.57	10.49	1.881	0.912	0.385	0.947
AT4G16790	25.92	16.47	0.635	-0.654	0.393	0.954
AT4G16800	2.49	5.36	2.149	1.103	0.549	1
AT4G16807	4.26	1.95	0.458	-1.127	0.576	1
AT4G16820	0	7.63	Inf	Inf	0.0188	0.17
AT4G16830	78.99	58.36	0.739	-0.437	0.211	0.753
AT4G16835	0.59	3.59	6.1	2.609	0.377	0.943
AT4G16840	5.48	2.8	0.511	-0.969	0.545	1
AT4G16845	21.39	22.79	1.066	0.092	0.918	1
AT4G16850	6.16	7.57	1.228	0.296	0.812	1
AT4G16860	14.68	7.2	0.49	-1.028	0.265	0.838
AT4G16880	0	0.85	Inf	Inf	0.886	1
AT4G16890	15.14	10.37	0.685	-0.546	0.527	1
AT4G16900	14.77	13.77	0.932	-0.101	0.958	1
AT4G16920	17.67	10.98	0.621	-0.686	0.404	0.964
AT4G16940	16.59	7.2	0.434	-1.204	0.169	0.685
AT4G16950	24.65	13.96	0.566	-0.82	0.225	0.777
AT4G16960	20.21	11.16	0.552	-0.857	0.254	0.821
AT4G16970	4.89	10.06	2.056	1.04	0.349	0.923
AT4G17000	4.8	13.06	2.719	1.443	0.454	0.999
AT4G17010	13.91	11.46	0.823	-0.28	0.745	1
AT4G17020	11.56	14.32	1.239	0.309	0.76	1
AT4G17030	38.34	14.68	0.383	-1.385	0.062	0.387
AT4G17040	37.16	29.07	0.782	-0.354	0.482	0.999
AT4G17050	11.24	7.98	0.71	-0.494	0.707	1
AT4G17060	14.73	23.71	1.61	0.687	0.285	0.861
AT4G17070	17.22	17.3	1.004	0.006	1	1
AT4G17080	38.79	32.44	0.836	-0.258	0.648	1
AT4G17085	7.93	5.18	0.653	-0.615	0.62	1
AT4G17100	51.07	15.83	0.31	-1.69	0.00162	0.0271
AT4G17140	391	339.88	0.869	-0.202	0.291	0.868
AT4G17150	15.95	13.41	0.84	-0.251	0.779	1
AT4G17170	27.1	27.13	1.001	0.002	0.991	1
AT4G17180	7.34	9.74	1.327	0.408	0.763	1
AT4G17190	18.26	11.22	0.614	-0.703	0.362	0.937
AT4G17215	18.49	12.13	0.656	-0.608	0.434	0.981
AT4G17220	23.07	5.72	0.248	-2.011	0.00711	0.0843
AT4G17230	68.38	45.53	0.666	-0.587	0.127	0.59
AT4G17240	6.07	14.43	2.377	1.249	0.194	0.73
AT4G17250	4.89	3.53	0.722	-0.469	0.824	1
AT4G17260	12.82	6.4	0.499	-1.004	0.279	0.852
AT4G17270	50.53	42.24	0.836	-0.259	0.555	1
AT4G17280	27.46	70.64	2.572	1.363	0.0012	0.0212
AT4G17300	6.62	9.75	1.474	0.56	0.636	1
AT4G17310	4.31	0.85	0.198	-2.339	0.272	0.847
AT4G17330	195	289.91	1.487	0.572	0.0101	0.109
AT4G17340	329.78	71.63	0.217	-2.203	4.41E-19	1.14E-16
AT4G17350	9.74	136.58	14.018	3.809	6.52E-19	1.64E-16
AT4G17360	0	0.43	Inf	Inf	1	1
AT4G17370	13.32	7.8	0.586	-0.772	0.393	0.954
AT4G17380	1.86	1.7	0.916	-0.126	1	1
AT4G17390	146.28	236.84	1.619	0.695	0.00332	0.0471
AT4G17410	20.21	28.82	1.426	0.512	0.385	0.948
AT4G17420	7.21	4.81	0.668	-0.583	0.639	1
AT4G17430	12.69	20.35	1.603	0.681	0.373	0.943
AT4G17440	0.63	4.15	6.541	2.709	0.278	0.852
AT4G17460	44.73	43.71	0.977	-0.033	0.998	1
AT4G17470	1.86	0	0	NA	0.42	0.97
AT4G17480	1.81	0	0	NA	0.423	0.97
AT4G17483	0.59	1.64	2.789	1.48	0.848	1
AT4G17486	26.69	15.55	0.582	-0.78	0.209	0.749
AT4G17490	7.89	26.46	3.355	1.746	0.0148	0.144
AT4G17500	13.37	14.27	1.067	0.094	0.94	1
AT4G17510	14.82	19.68	1.328	0.41	0.56	1
AT4G17520	59.28	138.2	2.331	1.221	0.000239	0.00586
AT4G17530	39.02	30.29	0.776	-0.365	0.456	0.999
AT4G17540	3.58	4.99	1.393	0.479	0.903	1
AT4G17550	7.89	5.18	0.657	-0.607	0.62	1
AT4G17560	10.51	5.72	0.544	-0.878	0.393	0.954
AT4G17565	0.63	0	0	NA	0.932	1
AT4G17570	21.84	17.24	0.789	-0.342	0.579	1
AT4G17600	5.44	1.28	0.235	-2.091	0.222	0.773
AT4G17610	12.15	38.78	3.193	1.675	0.00401	0.0548
AT4G17615	3.72	14	3.767	1.913	0.249	0.816
AT4G17616	7.25	5.49	0.757	-0.403	0.776	1
AT4G17620	16.45	26.24	1.595	0.674	0.33	0.906
AT4G17640	30.91	27.06	0.876	-0.192	0.728	1
AT4G17650	7.16	7.01	0.979	-0.031	1	1
AT4G17670	1.81	3.53	1.95	0.963	0.715	1
AT4G17695	0.63	0	0	NA	0.932	1
AT4G17710	0	0.43	Inf	Inf	1	1
AT4G17720	25.02	29.79	1.191	0.252	0.686	1
AT4G17730	38.16	29.19	0.765	-0.387	0.453	0.998
AT4G17740	1.86	3.65	1.966	0.975	0.705	1
AT4G17750	6.93	8.29	1.195	0.257	0.862	1
AT4G17760	0.59	1.58	2.689	1.427	0.853	1
AT4G17770	17.67	40.88	2.313	1.21	0.0255	0.212
AT4G17785	1.27	12.38	9.755	3.286	0.0134	0.135
AT4G17790	15.09	21.93	1.453	0.539	0.466	0.999
AT4G17800	113.75	107.93	0.949	-0.076	0.849	1
AT4G17830	12.28	25.67	2.09	1.063	0.103	0.528
AT4G17840	13.96	1.95	0.14	-2.839	0.0105	0.112
AT4G17860	0.59	0	0	NA	0.932	1
AT4G17870	57.1	35.56	0.623	-0.683	0.232	0.789
AT4G17880	47.72	20.49	0.429	-1.22	0.0139	0.138
AT4G17890	71.51	50.03	0.7	-0.515	0.166	0.679
AT4G17895	22.61	17.98	0.795	-0.331	0.633	1
AT4G17900	41.42	31.3	0.756	-0.404	0.366	0.94
AT4G17905	1.86	0	0	NA	0.42	0.97
AT4G17910	5.53	3.36	0.607	-0.72	0.708	1
AT4G17940	23.2	26.15	1.127	0.173	0.783	1
AT4G17950	27.87	18.54	0.665	-0.588	0.33	0.906
AT4G17960	1.27	6.15	4.845	2.276	0.221	0.772
AT4G18010	67.8	5.37	0.079	-3.659	2.72E-11	3.28E-09
AT4G18020	18.9	3.59	0.19	-2.395	0.00686	0.0817
AT4G18030	121.5	107.11	0.882	-0.182	0.491	1
AT4G18040	33.49	60.04	1.793	0.842	0.0452	0.314
AT4G18050	1.81	3.77	2.08	1.057	0.714	1
AT4G18060	20.85	22.69	1.088	0.122	0.835	1
AT4G18070	36.3	16.4	0.452	-1.147	0.0453	0.314
AT4G18100	331.91	501.11	1.51	0.594	0.00199	0.0318
AT4G18120	48.72	51.76	1.062	0.087	0.838	1
AT4G18130	25.88	17.08	0.66	-0.599	0.484	1
AT4G18140	33.54	23.21	0.692	-0.531	0.302	0.878
AT4G18160	23.43	6.21	0.265	-1.917	0.113	0.557
AT4G18170	0	2.13	Inf	Inf	0.542	1
AT4G18190	0	1.7	Inf	Inf	0.596	1
AT4G18197	0	1.64	Inf	Inf	0.583	1
AT4G18205	0	0.79	Inf	Inf	0.896	1
AT4G18210	0.63	0	0	NA	0.932	1
AT4G18230	10.38	10.12	0.975	-0.036	1	1
