"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G53430",236.852217496742,-0.0123466898466902,0.185056573290314,-0.0667184614259604,0.94680583696583,0.995424441814178
"AT4G11845",82.7185314723619,-0.0175994975970328,0.264224726264464,-0.0666080644527467,0.946893725501233,0.995451219892008
"AT2G47330",831.783603513214,0.0075324401674407,0.113486424586196,0.0663730503001227,0.947080825623023,0.995580260751013
"AT3G30720",6.15810680400836,-0.0614095532753776,0.925673607859624,-0.0663403955281506,0.94710682306221,0.995580260751013
"AT5G61220",465.778830435334,0.0114404835949523,0.172707407582156,0.0662419971159033,0.947185161317252,0.995615119007422
"AT1G01725",24.6732666146458,0.0273962108957265,0.446573476518846,0.0613475997483927,0.951082383044678,0.995622592358003
"AT1G02660",519.562058844793,0.0342152240657566,0.580321917521937,0.0589590415813707,0.95298473141244,0.995622592358003
"AT1G03180",138.539792679777,-0.013342690140577,0.20389056916681,-0.0654404477612738,0.947823320423698,0.995622592358003
"AT1G03930",445.755785792328,-0.00963917174031407,0.162874948840155,-0.0591814260508161,0.952807603573221,0.995622592358003
"AT1G03990",83.7404542615611,0.0174738398960538,0.264280416969466,0.0661185573128284,0.947283436580002,0.995622592358003
"AT1G05065",6.83435188645967,-0.0488883823547101,0.827188063404134,-0.0591018953459257,0.952870949015,0.995622592358003
"AT1G05310",255.074744246555,-0.0105295107450011,0.17958050802678,-0.0586339289308106,0.953243685782553,0.995622592358003
"AT1G07070",609.841337458903,0.0095816953537832,0.162871874092087,0.0588296500374629,0.953087792037319,0.995622592358003
"AT1G08780",643.561716808859,0.00924592800787651,0.157235172381645,0.058803179134975,0.953108876261094,0.995622592358003
"AT1G08880",2097.28557664313,-0.0109150795617135,0.174296290481279,-0.0626237054820501,0.950066152218923,0.995622592358003
"AT1G08970",861.773752791294,-0.00722083482451834,0.111578635364195,-0.0647152100484952,0.948400752341638,0.995622592358003
"AT1G10450",715.027681541945,0.00761959595573958,0.13585207445437,0.0560874464842922,0.955272144450829,0.995622592358003
"AT1G10770",18.2747370208646,-0.0336748096493609,0.608073511661034,-0.0553795042927847,0.955836123980734,0.995622592358003
"AT1G11330",187.227839289051,0.0203961636005426,0.332298913598505,0.0613789656417172,0.951057403756121,0.995622592358003
"AT1G14180",151.912034535755,0.0143373099104486,0.224682248489107,0.0638114938178735,0.949120326169632,0.995622592358003
"AT1G16540",332.112207244329,-0.0121724749040424,0.207757505209089,-0.0585898203378592,0.953278818948613,0.995622592358003
"AT1G16825",96.2877844622928,0.0150469124116321,0.259008338353985,0.0580943166048484,0.953673501441523,0.995622592358003
"AT1G17470",1853.98689962095,0.00840161096661926,0.135890307841644,0.0618264179400481,0.950701065253425,0.995622592358003
"AT1G17890",2674.68838213977,0.00689922912816266,0.119678294393141,0.0576481237733789,0.954028916155544,0.995622592358003
"AT1G20050",2758.58272290605,-0.00834808255682975,0.12896957796592,-0.0647290833116916,0.948389706239192,0.995622592358003
"AT1G22065",212.476705777796,0.0254699960325339,0.458127633898689,0.0555958517843226,0.955663769192202,0.995622592358003
"AT1G22730",817.224405029829,0.00972540044481879,0.157059904673404,0.0619215990551004,0.950625266943087,0.995622592358003
"AT1G24430",36.9735642120936,0.0291643733235253,0.511461887404577,0.0570215964116515,0.954527991679689,0.995622592358003
"AT1G24807",99.624585968603,-0.0150625112780334,0.244030503197771,-0.0617238873036548,0.950782716918148,0.995622592358003
"AT1G24851",58.3099012068179,0.0208264455238208,0.336310426611803,0.0619262558512953,0.950621558474318,0.995622592358003
"AT1G25083",99.624585968603,-0.0150625112780334,0.244030503197771,-0.0617238873036548,0.950782716918148,0.995622592358003
"AT1G25155",99.624585968603,-0.0150625112780334,0.244030503197771,-0.0617238873036548,0.950782716918148,0.995622592358003
"AT1G27390",1154.788480806,0.00605414462280622,0.10605560917489,0.0570846244711363,0.954477784344548,0.995622592358003
"AT1G28760",133.598996683713,-0.0130465250047967,0.215511500080179,-0.0605374887184346,0.951727558907751,0.995622592358003
"AT1G29520",632.338657028334,0.00788058994220263,0.133441652613025,0.0590564474276709,0.952907147978638,0.995622592358003
"AT1G29550",187.602962236589,-0.0113365757958042,0.198028672791631,-0.0572471432343173,0.954348324838458,0.995622592358003
"AT1G29810",239.607200128453,-0.0116705966989564,0.179763903307384,-0.0649218028994424,0.948236261009125,0.995622592358003
"AT1G29970",674.646654860877,0.00912658104470424,0.163234139175302,0.0559109821683986,0.955412722011506,0.995622592358003
"AT1G33060",341.991360797453,-0.00849149971372705,0.147030922849479,-0.057753155248982,0.953945252552073,0.995622592358003
"AT1G34150",313.600135428952,0.00983515598859861,0.157711834035053,0.0623615599220833,0.950274906088783,0.995622592358003
"AT1G34670",117.552798240433,0.0279539714533371,0.423988424711806,0.0659309778853939,0.947432777445283,0.995622592358003
"AT1G44180",19.1414682255439,0.0557106149934372,0.858656677566723,0.0648811293837613,0.948268645502458,0.995622592358003
"AT1G45248",72.8948783215753,-0.0170326488176181,0.284938781910339,-0.0597765200771361,0.952333626392298,0.995622592358003
"AT1G47560",181.491120978974,0.0131144472876485,0.204482369148234,0.0641348559402765,0.948862847938641,0.995622592358003
"AT1G48550",230.284569608161,-0.0111587003347078,0.194334247829125,-0.0574201431778481,0.954210517537304,0.995622592358003
"AT1G49630",326.900860430171,0.010412268681341,0.164050654379298,0.0634698393659989,0.949392375504201,0.995622592358003
"AT1G50370",1462.05909903388,0.00690668356765788,0.115629329688509,0.0597312428106571,0.952369687987236,0.995622592358003
"AT1G50710",575.035393066095,-0.009057724439423,0.153356067664819,-0.0590633587398699,0.952901643158321,0.995622592358003
"AT1G52600",1009.35762649913,-0.0080056858815981,0.127550942490692,-0.0627646156529364,0.94995394290863,0.995622592358003
"AT1G53190",793.064421587666,0.0117142317626815,0.180987606221038,0.0647239444029944,0.948393797915035,0.995622592358003
"AT1G55630",141.173591665845,-0.0123479703216055,0.215468369827034,-0.0573075775879206,0.954300184232932,0.995622592358003
"AT1G56045",3266.21727518841,0.00984486383386271,0.174243116907849,0.0565007330480051,0.954942911571849,0.995622592358003
"AT1G61170",132.500334382559,-0.0141923157004667,0.235406132645088,-0.0602886404912137,0.951925749064411,0.995622592358003
"AT1G62620",7.46938557324991,-0.0476675392236535,0.81094771880777,-0.0587800398449025,0.953127306863591,0.995622592358003
"AT1G67590",648.172476435555,0.00839857321251834,0.13925257183653,0.0603117996440133,0.951907304298113,0.995622592358003
"AT1G70580",894.650007558882,0.00805290889298898,0.125635150587228,0.0640975782282991,0.948892530176546,0.995622592358003
"AT1G72330",490.225221697067,0.00820964239487018,0.135726401949012,0.0604867017542711,0.95176800691999,0.995622592358003
"AT1G72560",460.748285458231,-0.00973444723909008,0.153712233707117,-0.0633290337686336,0.949504496555096,0.995622592358003
"AT1G74390",94.7221254648605,0.0169508604001732,0.272056674089502,0.0623063575150397,0.950318865750938,0.995622592358003
"AT1G74400",29.5069540191396,-0.0273842998124092,0.433889238682597,-0.0631135722461224,0.949676066756867,0.995622592358003
"AT1G75125",32.3325068253602,0.0247608884415885,0.384615213080984,0.0643783386601895,0.948668977486351,0.995622592358003
"AT1G76670",2161.0430491445,0.00815993361194755,0.146635182854095,0.055647856490668,0.955622339576797,0.995622592358003
"AT1G78800",504.875035131912,0.00862420410614161,0.139259623879884,0.0619289630825103,0.950619402554303,0.995622592358003
"AT1G78900",18127.6039228922,0.00588750446708881,0.0968515926926878,0.0607889277130422,0.951527308419078,0.995622592358003
"AT1G79180",154.298520310569,0.0208642550648229,0.363588912281586,0.0573841895614912,0.954239157149923,0.995622592358003
"AT1G79840",401.783239803426,-0.0148791338010252,0.23394223158511,-0.0636017434740597,0.949287343463542,0.995622592358003
"AT2G07695",5.17843328859701,-0.0674053350887265,1.02691134397101,-0.0656389039662117,0.947665314998851,0.995622592358003
"AT2G13540",1134.41954723847,-0.00650978403488623,0.112139528814943,-0.0580507525194701,0.953708201990888,0.995622592358003
"AT2G15860",1217.99478761468,0.00719715448946274,0.127183172388354,0.0565888895072236,0.95487268525177,0.995622592358003
"AT2G16880",373.221245008194,-0.00822310075237919,0.148893452748355,-0.0552280882778444,0.95595675186928,0.995622592358003
"AT2G18370",155.957553654689,-0.0314348010838802,0.523270430765837,-0.0600737195065152,0.952096920945762,0.995622592358003
"AT2G18700",2625.47860683346,0.0169435221359175,0.303832674335802,0.0557659645163482,0.955528249113556,0.995622592358003
"AT2G18740",1102.71180174264,0.00741963056253101,0.131913477984511,0.0562461901232124,0.955145684981313,0.995622592358003
"AT2G18850",203.588383986618,-0.00997999876688385,0.174603198320369,-0.0571581669917189,0.95441920155437,0.995622592358003
"AT2G19660",252.198057876203,-0.0131997900965046,0.222340026500674,-0.0593675835352326,0.952659332093136,0.995622592358003
"AT2G20230",1887.00146735764,-0.00868459986883609,0.133050633771371,-0.0652728936546018,0.947956724037489,0.995622592358003
"AT2G27200",350.621235750596,0.0090596330486374,0.160956402443105,0.0562862546076091,0.955113768709453,0.995622592358003
"AT2G28100",92.4588630201834,-0.0160789681893937,0.287021285363921,-0.0560201246712653,0.955325775165248,0.995622592358003
"AT2G28540",594.004553802051,-0.00737629419132616,0.125831287574306,-0.0586205095212932,0.953254374536997,0.995622592358003
"AT2G29580",318.352814678897,0.0105693444942989,0.174026244287235,0.060734198669793,0.951570895342644,0.995622592358003
"AT2G30870",22326.9016953497,-0.00840259429278012,0.129524957151693,-0.0648723958498551,0.948275599204867,0.995622592358003
"AT2G34780",636.794937681757,0.00962311616764977,0.16361353335163,0.0588161380695096,0.95309855439223,0.995622592358003
"AT2G34940",101.266771782458,-0.0139853478494462,0.228198321822313,-0.0612859364510835,0.951131490834327,0.995622592358003
"AT2G34960",6.82349811107479,-0.0559708050097197,0.879072204719728,-0.0636703159412993,0.94923274121975,0.995622592358003
"AT2G35720",448.142891887878,-0.00880494805008408,0.14362771774267,-0.0613039612998616,0.95111713607704,0.995622592358003
"AT2G38970",271.787416511152,0.0118504304781309,0.208659546196686,0.0567931383640628,0.954709979909799,0.995622592358003
"AT2G40280",617.31282364763,-0.00968788855794379,0.154974674494905,-0.0625127208011156,0.950154532019068,0.995622592358003
"AT2G41870",257.938782605032,-0.0135814075614725,0.221386764203684,-0.0613469717140682,0.951082883201516,0.995622592358003
"AT2G41945",282.234410345902,0.0105956762967943,0.186349202289155,0.0568592522352375,0.954657313776602,0.995622592358003
"AT2G43390",28.7000254620453,-0.0332646742835947,0.52449079802003,-0.0634227986633321,0.949429833087123,0.995622592358003
"AT2G43680",3070.22610437361,-0.00987793608708207,0.178733797227114,-0.0552661905041402,0.955926397051747,0.995622592358003
"AT2G44050",1256.62458964802,0.00745606969819401,0.133755686496297,0.055743945498724,0.955545790461913,0.995622592358003
"AT2G46505",2180.72466106833,0.00911160854813143,0.147563807764969,0.0617469058716883,0.950764385723875,0.995622592358003
"AT2G46930",859.676594455894,-0.00851323724203884,0.146810612180759,-0.0579878873576048,0.95375827678006,0.995622592358003
"AT2G47010",31.1375840429983,-0.0247006548829384,0.401036948605915,-0.061591967944108,0.950887773451695,0.995622592358003
"AT2G47210",696.542935245324,0.00667100787071746,0.119943680025306,0.0556178355484006,0.955646255783987,0.995622592358003
